param_cap_id,param_bridge_id,param_core_id,obj_max_oscillator_strength_s1_s3,obj_color_error_eV,obj_conformational_ambiguity,result_id,suggestion_id,created_at,evaluation,phase
A017,B003,C069,0.4501395080345683,0.1209727820349213,1.0,aa75e241-1fd1-475a-b733-c441cf2029e9,,2026-06-30 20:33:30.514898+00:00,1,seeded
A017,B003,C070,0.1124968024435173,0.1732366955849706,3.0,03ed8d53-a7ce-4a62-80e5-a726865695ce,,2026-06-30 20:33:30.514912+00:00,2,seeded
A017,B030,C069,0.0316349587783515,0.4233101993113122,1.0,b6533e3e-8f20-44b6-a1f4-f8ea32b00988,,2026-06-30 20:33:30.514921+00:00,3,seeded
A013,B021,C094,0.8108059156826731,0.1361687239546087,5.0,ff9aff1f-9616-4da1-8cb5-512bcc3a575d,,2026-06-30 20:33:30.514928+00:00,4,seeded
A021,B014,C115,0.0005781277330285,0.4143680696066409,2.0,b8dba32e-a651-4b80-bc50-0fbe0574b007,,2026-06-30 20:33:30.514936+00:00,5,seeded
A017,B002,C094,0.3771483252828405,0.031798105437145,6.0,3ba4ebcf-616e-49fa-874f-0770b11aa5d9,,2026-06-30 20:33:30.514943+00:00,6,seeded
A032,B021,C080,0.8715196917888288,0.0461568593245753,3.0,0b029560-4a49-4f30-9d66-5bbb873c1b28,87dc3948-beff-4cba-a739-d8f615203762,2026-06-30 20:42:42.182841+00:00,7,live
A013,B003,C069,0.2167995262383901,0.0232818916829371,3.0,1ca34c4d-18f7-4b2d-a60a-8ecd2504c2a5,eca5aa3d-5279-445a-b72d-b64b40a29855,2026-06-30 20:42:42.184423+00:00,8,live
A032,B019,C080,0.1015346154846295,0.0965959622009666,1.0,e077980c-8085-4d23-9e93-07f29b8920f3,4265eb60-124f-4617-b1ef-ec16a7d8773d,2026-06-30 20:51:10.404742+00:00,9,live
A032,B009,C080,0.0049159966534851,0.0302289983906929,4.0,2ac77b82-50f1-4696-b87a-8b29c9a563b1,0085919d-0d72-460a-9d5c-7302c375697f,2026-06-30 20:51:10.406178+00:00,10,live
A032,B021,C100,1.063291426039613,0.2184783574544657,3.0,b00f37fa-c0a5-4782-9cac-a02f064cf8db,59d62157-645a-41df-aeb3-dacbfe9fbcd8,2026-06-30 21:00:14.893029+00:00,11,live
A032,B021,C087,0.0585651740700402,0.6501904440269093,2.0,bf0fb364-0863-436d-afde-eb10369ae2ba,e4d41e9b-7d69-4ff4-a0ca-e82c7ff1fcd7,2026-06-30 21:00:14.894446+00:00,12,live
A031,B021,C080,0.1844154347047444,0.0231395509844283,6.0,480155e3-3ce0-4b77-b82b-a90345f3e90e,a4821d88-a222-4c5c-9428-6b3222f3a7b3,2026-06-30 21:07:33.798381+00:00,13,live
A032,B019,C100,0.0683947174935409,0.0531722289872678,2.0,61728e93-a6af-422a-b0c0-68000e29bdf9,00dcc238-f336-4b61-bea3-cea9338633fd,2026-06-30 21:07:33.799922+00:00,14,live
A032,B030,C080,0.0548623551192815,0.1355301511648763,2.0,182e62d4-468f-4641-b62b-2568d974c3d9,3463a3d2-f678-4890-a8fe-a7ece42d419e,2026-06-30 21:15:31.371080+00:00,15,live
A032,B021,C078,0.0735788288532727,0.2000461061988749,1.0,2045fc68-d8b1-489f-93a9-54a2b49180f6,d6d86540-41f8-4d86-b041-14cc408603cc,2026-06-30 21:15:31.372570+00:00,16,live
